Epoch | Loss    | Accuracy
------+---------+---------
    1 | 0.7525  | 76.4%
    2 | 0.6039  | 82.8%
    3 | 0.5527  | 84.4%
    4 | 0.5075  | 85.3%
    5 | 0.4767  | 87.0%
    6 | 0.4251  | 88.5%
    7 | 0.3977  | 88.7%
    8 | 0.3569  | 90.2%
    9 | 0.3393  | 90.2%
   10 | 0.3149  | 91.6%
   11 | 0.2730  | 92.6%
   12 | 0.2612  | 92.9%
   13 | 0.2321  | 93.9%
   14 | 0.2315  | 93.6%
   15 | 0.2049  | 94.4%
   16 | 0.1918  | 94.7%
   17 | 0.1928  | 95.1%
   18 | 0.1739  | 95.1%
   19 | 0.1639  | 95.5%
   20 | 0.1561  | 95.7%
   21 | 0.1468  | 96.1%
   22 | 0.1414  | 96.3%
   23 | 0.1229  | 96.5%
   24 | 0.1267  | 96.5%
   25 | 0.1130  | 97.1%
   26 | 0.1038  | 97.3%
   27 | 0.1071  | 97.0%
   28 | 0.1004  | 97.4%
   29 | 0.0941  | 97.5%
   30 | 0.1062  | 97.1%
   31 | 0.0882  | 97.6%
   32 | 0.0961  | 97.4%
   33 | 0.0841  | 97.9%
   34 | 0.0803  | 97.8%
   35 | 0.0731  | 98.1%
   36 | 0.0768  | 97.9%
   37 | 0.0746  | 98.0%
   38 | 0.0694  | 98.3%
   39 | 0.0744  | 98.1%
   40 | 0.0794  | 98.0%
   41 | 0.0782  | 98.0%
   42 | 0.0715  | 97.9%
   43 | 0.0653  | 98.3%
   44 | 0.0568  | 98.5%
   45 | 0.0676  | 98.4%
   46 | 0.0599  | 98.4%
   47 | 0.0625  | 98.4%
   48 | 0.0568  | 98.6%
   49 | 0.0514  | 98.6%
   50 | 0.0546  | 98.6%
   51 | 0.0541  | 98.5%
   52 | 0.0539  | 98.6%
   53 | 0.0517  | 98.6%
   54 | 0.0575  | 98.5%
   55 | 0.0530  | 98.6%
   56 | 0.0483  | 98.7%
   57 | 0.0496  | 98.7%
   58 | 0.0563  | 98.5%
   59 | 0.0531  | 98.7%
   60 | 0.0470  | 98.7%
